fantasy_player_id,round_id,tournament_id,points,starting_xi,minutes_played,goals_scored,assists,clean_sheet,goals_conceded,yellow_cards,red_cards,own_goals,penalty_won,penalty_conceded,penalty_saved,saves,tackles,chances_created,shots_on_target,free_kicks,scouting_bonus
1,1,19,0,0,90,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0
2,1,19,0,0,90,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0
3,1,19,0,0,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
7,1,19,0,0,90,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0
9,1,19,1,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,1,19,2,0,64,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
11,1,19,1,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,1,19,2,0,82,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
13,1,19,2,0,64,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
18,1,19,1,0,90,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
21,1,19,1,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,19,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,19,2,0,64,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
26,1,19,1,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,1,19,2,0,90,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0
28,1,19,9,0,80,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
30,1,19,1,0,45,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
31,1,19,1,0,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
38,1,19,19,0,80,3,0,1,0,0,0,0,0,0,0,0,2,0,4,0,0
39,1,19,1,0,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
42,1,19,4,0,35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,19,7,0,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,19,9,0,90,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1
51,1,19,1,0,10,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
55,1,19,1,0,55,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
56,1,19,8,0,90,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1
57,1,19,4,0,90,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
58,1,8,9,0,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
58,2,29,0,0,90,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
60,1,8,9,0,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
60,2,29,0,0,90,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0
61,1,8,9,0,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
61,2,29,-2,0,45,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
63,1,8,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,8,1,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2,29,1,0,45,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
68,1,8,10,0,61,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1
68,2,29,1,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,8,1,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2,29,1,0,45,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
72,1,8,9,0,74,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1
72,2,29,0,0,90,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
76,1,8,11,0,90,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,1
