fantasy_player_id,fifa_player_id,fantasy_squad_id,first_name,last_name,known_name,position,price,is_active,percent_selected,rounds_selected_json,total_points,avg_points,form,last_round_points,round_points_json,qualification_round_ids_json
1,431858.0,1,Rayan,Aït-Nouri,Rayan Aït-Nouri,DEF,4.9,True,1.2,"{""1"": 1.1, ""2"": 1.1, ""3"": 1.2}",0,0.0,0.0,0,"{""1"": 0}",[]
2,395113.0,1,Ramy,Bensebaini,Ramy Bensebaini,DEF,4.4,True,0.2,"{""1"": 0.2, ""2"": 0.2, ""3"": 0.2}",0,0.0,0.0,0,"{""1"": 0}",[]
3,376285.0,1,Aïssa,Mandi,Aïssa Mandi,DEF,3.9,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",0,0.0,0.0,0,"{""1"": 0}",[]
4,,1,Mehdi,Dorval,Mehdi Dorval,DEF,3.7,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
5,480983.0,1,Zinéddine,Belaïd,Zinéddine Belaïd,DEF,3.7,True,0.1,"{""1"": 0, ""2"": 0, ""3"": 0.1}",0,0.0,0.0,0,{},[]
6,,1,Sohaib,Nair,Sohaib Nair,DEF,3.5,False,0.2,"{""1"": 0.2, ""2"": 1.1, ""3"": 0.2}",0,0.0,0.0,0,{},[]
7,511009.0,1,Rafik,Belghali,Rafik Belghali,DEF,3.5,True,1.7,"{""1"": 1.7, ""2"": 1.1, ""3"": 1.7}",0,0.0,0.0,0,"{""1"": 0}",[]
8,512127.0,1,Achref,Abada,Achref Abada,DEF,3.5,True,0.6,"{""1"": 0.6, ""2"": 0.4, ""3"": 0.6}",0,0.0,0.0,0,{},[]
9,477790.0,1,Mohammed,Amoura,Mohammed Amoura,FWD,6.2,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",1,1.0,0.3,1,"{""1"": 1}",[]
10,405877.0,1,Amine,Gouiri,Amine Gouiri,FWD,6.2,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",2,2.0,0.7,2,"{""1"": 2}",[]
11,379942.0,1,Riyad,Mahrez,Riyad Mahrez,MID,6.5,True,0.7,"{""1"": 0.6, ""2"": 0.6, ""3"": 0.7}",1,1.0,0.3,1,"{""1"": 1}",[]
12,494291.0,1,Ibrahim,Maza,Ibrahim Maza,FWD,5.4,True,0.2,"{""1"": 0.2, ""2"": 0.2, ""3"": 0.2}",2,2.0,0.7,2,"{""1"": 2}",[]
13,482874.0,1,Anis,Hadj Moussa,Anis Hadj Moussa,FWD,5.3,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",2,2.0,0.7,2,"{""1"": 2}",[]
14,520072.0,1,Farès,Ghedjemis,Farès Ghedjemis,FWD,4.4,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
15,520071.0,1,Ahmed,Benbouali,Ahmed Benbouali,FWD,4.2,True,0.1,"{""1"": 0, ""2"": 0, ""3"": 0.1}",0,0.0,0.0,0,{},[]
16,,1,Amin,Chiakha,Amin Chiakha,FWD,4.0,False,0.1,"{""1"": 0.1, ""2"": 0.4, ""3"": 0.1}",0,0.0,0.0,0,{},[]
17,,1,Anthony,Mandréa,Anthony Mandréa,GK,3.9,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
18,389879.0,1,Luca,Zidane,Luca Zidane,GK,3.8,True,1.2,"{""1"": 1, ""2"": 0.9, ""3"": 1.2}",1,1.0,0.3,1,"{""1"": 1}",[]
19,520070.0,1,Melvin,Mastil,Melvin Mastil,GK,3.5,True,1.9,"{""1"": 2, ""2"": 2.1, ""3"": 1.9}",0,0.0,0.0,0,{},[]
20,,1,Kilian,Belazzoug,Kilian Belazzoug,GK,3.5,False,0.0,"{""1"": 0, ""2"": 0.2, ""3"": 0}",0,0.0,0.0,0,{},[]
21,512132.0,1,Adil,Boulbina,Adil Boulbina,MID,4.0,True,2.4,"{""1"": 2.5, ""2"": 1.8, ""3"": 2.4}",1,1.0,0.3,1,"{""1"": 1}",[]
22,433631.0,1,Yacine,Titraoui,Yacine Titraoui,MID,4.7,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
23,433679.0,1,Ramiz,Zerrouki,Ramiz Zerrouki,MID,5.3,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",1,1.0,0.3,1,"{""1"": 1}",[]
24,441350.0,1,Hicham,Boudaoui,Hicham Boudaoui,MID,5.5,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",2,2.0,0.7,2,"{""1"": 2}",[]
25,,1,Adil,Aouchiche,Adil Aouchiche,MID,5.6,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
26,430698.0,1,Houssem,Aouar,Houssem Aouar,MID,6.0,True,0.2,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.2}",1,1.0,0.3,1,"{""1"": 1}",[]
27,477795.0,1,Farès,Chaïbi,Farès Chaïbi,MID,6.2,True,0.1,"{""1"": 0, ""2"": 0.1, ""3"": 0.1}",2,2.0,0.7,2,"{""1"": 2}",[]
28,431196.0,2,Cristian,Romero,Cristian Romero,DEF,4.9,True,6.9,"{""1"": 5, ""2"": 5.8, ""3"": 6.9}",9,9.0,3.0,9,"{""1"": 9}",[]
29,402934.0,2,Marcos,Senesi,Marcos Senesi,DEF,4.7,True,0.3,"{""1"": 0.3, ""2"": 1.2, ""3"": 0.3}",0,0.0,0.0,0,{},[]
30,402925.0,2,Nahuel,Molina,Nahuel Molina,DEF,4.4,True,2.8,"{""1"": 3.3, ""2"": 2.9, ""3"": 2.8}",1,1.0,0.3,1,"{""1"": 1}",[]
31,310116.0,2,Nicolás,Otamendi,Nicolás Otamendi,DEF,4.4,True,2.1,"{""1"": 2.4, ""2"": 1.6, ""3"": 2.1}",1,1.0,0.3,1,"{""1"": 1}",[]
32,,2,Marcos,Acuña,Marcos Acuña,DEF,4.3,False,0.0,"{""1"": 0.1, ""2"": 0.3, ""3"": 0}",0,0.0,0.0,0,{},[]
33,,2,Lucas,Martínez Quarta,Lucas Martínez Quarta,DEF,4.3,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
34,308322.0,2,Nicolás,Tagliafico,Nicolás Tagliafico,DEF,4.3,True,0.9,"{""1"": 1.3, ""2"": 0.7, ""3"": 0.9}",0,0.0,0.0,0,{},[]
35,,2,Gabriel,Rojas,Gabriel Rojas,DEF,4.0,False,0.0,"{""1"": 0.1, ""2"": 0.3, ""3"": 0}",0,0.0,0.0,0,{},[]
36,,2,Agustín,Giay,Agustín Giay,DEF,3.7,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
38,229397.0,2,Lionel,Messi,Lionel Messi,FWD,10.0,True,25.8,"{""1"": 18, ""2"": 23.2, ""3"": 25.8}",19,19.0,6.3,19,"{""1"": 19}",[]
39,416081.0,2,Julián,Alvarez,Julián Alvarez,FWD,8.6,True,11.7,"{""1"": 16, ""2"": 10.4, ""3"": 11.7}",1,1.0,0.3,1,"{""1"": 1}",[]
40,,2,Gianluca,Prestianni,Gianluca Prestianni,MID,5.6,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
41,485595.0,2,Giuliano,Simeone,Giuliano Simeone,MID,5.6,True,0.7,"{""1"": 0.8, ""2"": 0.4, ""3"": 0.7}",0,0.0,0.0,0,{},[]
42,430631.0,2,Nico,González,Nico González,MID,5.6,True,0.2,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.2}",4,4.0,1.3,4,"{""1"": 4}",[]
43,495054.0,2,José Manuel,López,José Manuel López,FWD,5.3,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",0,0.0,0.0,0,{},[]
44,,2,Franco,Mastantuono,Franco Mastantuono,MID,5.8,False,0.0,"{""1"": 0, ""2"": 0.1, ""3"": 0}",0,0.0,0.0,0,{},[]
45,308300.0,2,Emiliano,Martínez,Emiliano Martínez,GK,5.0,True,24.0,"{""1"": 21.8, ""2"": 22, ""3"": 24}",7,7.0,2.3,7,"{""1"": 7}",[]
46,394824.0,2,Gerónimo,Rulli,Gerónimo Rulli,GK,4.5,True,0.2,"{""1"": 0.2, ""2"": 0.2, ""3"": 0.2}",0,0.0,0.0,0,{},[]
47,430624.0,2,Juan,Musso,Juan Musso,GK,4.3,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",0,0.0,0.0,0,{},[]
48,332847.0,2,Leandro,Paredes,Leandro Paredes,MID,5.6,True,0.2,"{""1"": 0.2, ""2"": 0.2, ""3"": 0.2}",0,0.0,0.0,0,{},[]
49,,2,Máximo,Perrone,Máximo Perrone,MID,5.6,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
50,428882.0,2,Rodrigo,De Paul,Rodrigo De Paul,MID,5.9,True,2.1,"{""1"": 0.9, ""2"": 1.4, ""3"": 2.1}",9,9.0,3.0,9,"{""1"": 9}",[]
51,441422.0,2,Nico,Paz,Nico Paz,MID,5.9,True,1.1,"{""1"": 1.3, ""2"": 1.1, ""3"": 1.1}",1,1.0,0.3,1,"{""1"": 1}",[]
52,,2,Alejandro,Garnacho,Alejandro Garnacho,MID,5.5,False,0.0,"{""1"": 0, ""2"": 0.1, ""3"": 0}",0,0.0,0.0,0,{},[]
53,463661.0,2,Valentín,Barco,Valentín Barco,MID,6.2,True,0.2,"{""1"": 0.3, ""2"": 0.1, ""3"": 0.2}",0,0.0,0.0,0,{},[]
54,389485.0,2,Exequiel,Palacios,Exequiel Palacios,MID,6.0,True,0.2,"{""1"": 0.2, ""2"": 0.2, ""3"": 0.2}",0,0.0,0.0,0,{},[]
55,418975.0,2,Thiago,Almada,Thiago Almada,MID,6.5,True,0.3,"{""1"": 0.3, ""2"": 0.2, ""3"": 0.3}",1,1.0,0.3,1,"{""1"": 1}",[]
56,430628.0,2,Alexis,Mac Allister,Alexis Mac Allister,MID,6.6,True,3.8,"{""1"": 3.3, ""2"": 3, ""3"": 3.8}",8,8.0,2.7,8,"{""1"": 8}",[]
57,448252.0,2,Enzo,Fernández,Enzo Fernández,MID,7.5,True,3.2,"{""1"": 3.2, ""2"": 3, ""3"": 3.2}",4,4.0,1.3,4,"{""1"": 4}",[]
58,423522.0,3,Jordan,Bos,Jordan Bos,DEF,4.0,True,0.7,"{""1"": 0.4, ""2"": 0.5, ""3"": 0.7}",9,4.5,3.0,0,"{""1"": 9, ""2"": 0}",[]
59,,3,Kye,Rowles,Kye Rowles,DEF,3.9,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
60,448014.0,3,Alessandro,Circati,Alessandro Circati,DEF,3.9,True,0.2,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.2}",9,4.5,3.0,0,"{""1"": 9, ""2"": 0}",[]
61,382312.0,3,Cameron,Burgess,Cameron Burgess,DEF,3.8,True,0.2,"{""1"": 0.1, ""2"": 0.2, ""3"": 0.2}",7,3.5,2.3,-2,"{""1"": 9, ""2"": -2}",[]
62,331149.0,3,Milos,Degenek,Milos Degenek,DEF,3.8,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
63,349342.0,3,Aziz,Behich,Aziz Behich,DEF,3.8,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",1,1.0,0.3,1,"{""1"": 1}",[]
64,339112.0,3,Jason,Geria,Jason Geria,DEF,3.7,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",2,1.0,0.7,1,"{""1"": 1, ""2"": 1}",[]
65,,3,Fran,Karacic,Fran Karacic,DEF,3.6,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
66,494411.0,3,Kai,Trewin,Kai Trewin,DEF,3.5,True,0.5,"{""1"": 0.5, ""2"": 0.5, ""3"": 0.5}",0,0.0,0.0,0,{},[]
67,504931.0,3,Lucas,Herrington,Lucas Herrington,DEF,3.5,True,0.3,"{""1"": 0.3, ""2"": 0.3, ""3"": 0.3}",0,0.0,0.0,0,{},[]
68,486306.0,3,Nestory,Irankunda,Nestory Irankunda,FWD,5.1,True,0.6,"{""1"": 0.3, ""2"": 0.5, ""3"": 0.6}",11,5.5,3.7,1,"{""1"": 10, ""2"": 1}",[]
69,,3,Martin,Boyle,Martin Boyle,FWD,5.1,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
70,491166.0,3,Nishan,Velupillay,Nishan Velupillay,FWD,4.4,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",2,1.0,0.7,1,"{""1"": 1, ""2"": 1}",[]
71,,3,Deni,Juric,Deni Juric,FWD,4.2,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
72,430450.0,3,Jacob,Italiano,Jacob Italiano,DEF,4.2,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",9,4.5,3.0,0,"{""1"": 9, ""2"": 0}",[]
73,,3,Ante,Suto,Ante Suto,FWD,4.0,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
74,339117.0,3,Mathew,Ryan,Mathew Ryan,GK,4.1,True,0.5,"{""1"": 0.6, ""2"": 0.6, ""3"": 0.5}",0,0.0,0.0,0,{},[]
75,331135.0,3,Paul,Izzo,Paul Izzo,GK,3.6,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",0,0.0,0.0,0,{},[]
76,494557.0,3,Patrick,Beach,Patrick Beach,GK,3.5,True,3.1,"{""1"": 1, ""2"": 2.3, ""3"": 3.1}",12,6.0,4.0,1,"{""1"": 11, ""2"": 1}",[]
77,498421.0,3,Paul,Okon,Paul Okon,MID,4.7,True,0.2,"{""1"": 0, ""2"": 0.1, ""3"": 0.2}",11,5.5,3.7,2,"{""1"": 9, ""2"": 2}",[]
78,,3,Patrick,Yazbek,Patrick Yazbek,MID,4.9,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
79,,3,Alex,Robertson,Alex Robertson,MID,5.1,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
80,430452.0,3,Connor,Metcalfe,Connor Metcalfe,MID,5.3,True,0.3,"{""1"": 0, ""2"": 0.1, ""3"": 0.3}",12,6.0,4.0,1,"{""1"": 11, ""2"": 1}",[]
81,430440.0,3,Aiden,O'Neill,Aiden O'Neill,MID,5.4,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",5,2.5,1.7,2,"{""1"": 3, ""2"": 2}",[]
82,406606.0,3,Awer,Mabil,Awer Mabil,MID,5.6,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
83,404319.0,3,Ajdin,Hrustic,Ajdin Hrustic,MID,5.7,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
84,,3,Riley,McGree,Riley McGree,MID,5.9,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
85,316002.0,4,David,Alaba,David Alaba,DEF,4.6,True,1.8,"{""1"": 2.2, ""2"": 1.7, ""3"": 1.8}",1,1.0,0.3,1,"{""1"": 1}",[]
86,372243.0,4,Philipp,Lienhart,Philipp Lienhart,DEF,4.3,True,0.1,"{""1"": 0.2, ""2"": 0.1, ""3"": 0.1}",2,2.0,0.7,2,"{""1"": 2}",[]
87,463282.0,4,Alexander,Prass,Alexander Prass,DEF,4.3,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
88,405263.0,4,Kevin,Danso,Kevin Danso,DEF,4.3,True,0.3,"{""1"": 0.5, ""2"": 0.4, ""3"": 0.3}",1,1.0,0.3,1,"{""1"": 1}",[]
90,441067.0,4,Stefan,Posch,Stefan Posch,DEF,4.3,True,0.2,"{""1"": 0.3, ""2"": 0.3, ""3"": 0.2}",2,2.0,0.7,2,"{""1"": 2}",[]
91,463288.0,4,Phillipp,Mwene,Phillipp Mwene,DEF,3.9,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",1,1.0,0.3,1,"{""1"": 1}",[]
92,463287.0,4,Marco,Friedl,Marco Friedl,DEF,4.3,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
93,520035.0,4,David,Affengruber,David Affengruber,DEF,3.9,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
94,491269.0,4,Michael,Svoboda,Michael Svoboda,DEF,3.8,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
95,299200.0,4,Marko,Arnautovic,Marko Arnautovic,FWD,6.0,True,0.4,"{""1"": 0.5, ""2"": 0.4, ""3"": 0.4}",9,9.0,3.0,9,"{""1"": 9}",[]
96,401131.0,4,Michael,Gregoritsch,Michael Gregoritsch,FWD,6.0,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",0,0.0,0.0,0,{},[]
97,430100.0,4,Sasa,Kalajdzic,Sasa Kalajdzic,FWD,6.0,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",1,1.0,0.3,1,"{""1"": 1}",[]
98,371739.0,4,Alexander,Schlager,Alexander Schlager,GK,4.6,True,0.5,"{""1"": 0.6, ""2"": 0.4, ""3"": 0.5}",3,3.0,1.0,3,"{""1"": 3}",[]
99,441065.0,4,Patrick,Pentz,Patrick Pentz,GK,4.6,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",0,0.0,0.0,0,{},[]
101,520034.0,4,Florian,Wiegele,Florian Wiegele,GK,3.5,True,0.3,"{""1"": 0.4, ""2"": 0.3, ""3"": 0.3}",0,0.0,0.0,0,{},[]
102,463800.0,4,Carney,Chukwuemeka,Carney Chukwuemeka,MID,5.0,True,0.8,"{""1"": 0.8, ""2"": 0.6, ""3"": 0.8}",1,1.0,0.3,1,"{""1"": 1}",[]
103,385259.0,4,Konrad,Laimer,Konrad Laimer,MID,5.8,True,0.3,"{""1"": 0.3, ""2"": 0.3, ""3"": 0.3}",2,2.0,0.7,2,"{""1"": 2}",[]
104,375600.0,4,Alessandro,Schöpf,Alessandro Schöpf,MID,5.3,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
105,385248.0,4,Florian,Grillitsch,Florian Grillitsch,MID,5.5,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
106,441088.0,4,Nicolas,Seiwald,Nicolas Seiwald,MID,5.6,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",3,3.0,1.0,3,"{""1"": 3}",[]
107,358241.0,4,Marcel,Sabitzer,Marcel Sabitzer,MID,6.8,True,2.0,"{""1"": 4.2, ""2"": 2.2, ""3"": 2}",1,1.0,0.3,1,"{""1"": 1}",[]
108,463283.0,4,Romano,Schmid,Romano Schmid,MID,6.0,True,0.2,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.2}",10,10.0,3.3,10,"{""1"": 10}",[]
109,463286.0,4,Patrick,Wimmer,Patrick Wimmer,MID,6.0,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",1,1.0,0.3,1,"{""1"": 1}",[]
110,520036.0,4,Paul,Wanner,Paul Wanner,MID,5.6,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",1,1.0,0.3,1,"{""1"": 1}",[]
111,385531.0,4,Xaver,Schlager,Xaver Schlager,MID,5.5,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",7,7.0,2.3,7,"{""1"": 7}",[]
112,,4,Christoph,Baumgartner,Christoph Baumgartner,MID,6.7,False,0.0,"{""1"": 0, ""2"": 0.1, ""3"": 0}",0,0.0,0.0,0,{},[]
114,448373.0,5,Maxim,De Cuyper,Maxim De Cuyper,DEF,4.7,True,2.1,"{""1"": 3.1, ""2"": 2.4, ""3"": 2.1}",9,4.5,3.0,9,"{""1"": 0, ""2"": 9}",[]
115,411443.0,5,Timothy,Castagne,Timothy Castagne,DEF,4.7,True,0.4,"{""1"": 0.4, ""2"": 0.3, ""3"": 0.4}",1,0.5,0.3,1,"{""1"": 0, ""2"": 1}",[]
116,448346.0,5,Arthur,Theate,Arthur Theate,DEF,4.5,True,0.2,"{""1"": 0.3, ""2"": 0.2, ""3"": 0.2}",1,1.0,0.3,1,"{""2"": 1}",[]
117,358122.0,5,Thomas,Meunier,Thomas Meunier,DEF,4.8,True,1.3,"{""1"": 0.9, ""2"": 1.1, ""3"": 1.3}",8,4.0,2.7,1,"{""1"": 7, ""2"": 1}",[]
