referee_id,name,country,confederation,flag_iso,nation_id,fm_id,slug,fm_url,countryApid,wc26_nominated
anthony-taylor-gb,Anthony Taylor,England,UEFA,gb,ENG,158,anthony-taylor,https://footymetrics.com/referees/158-anthony-taylor,462,True
danny-desmond-makkelie-cw,Danny Desmond Makkelie,Curaçao,UEFA,cw,CUW,59,danny-desmond-makkelie,https://footymetrics.com/referees/59-danny-desmond-makkelie,7437,True
michael-oliver-gb,Michael Oliver,England,UEFA,gb,ENG,13,michael-oliver,https://footymetrics.com/referees/13-michael-oliver,462,True
darío-herrera-ar,Darío Herrera,Argentina,CONMEBOL,ar,ARG,4810,dario-herrera,https://footymetrics.com/referees/4810-dario-herrera,44,True
facundo-tello-figueroa-ar,Facundo Tello Figueroa,Argentina,CONMEBOL,ar,ARG,4816,facundo-tello-figueroa,https://footymetrics.com/referees/4816-facundo-tello-figueroa,44,True
raphael-claus-br,Raphael Claus,Brazil,CONMEBOL,br,BRA,4836,raphael-claus,https://footymetrics.com/referees/4836-raphael-claus,5,True
wilton-pereira-sampaio-br,Wilton Pereira Sampaio,Brazil,CONMEBOL,br,BRA,5137,wilton-pereira-sampaio,https://footymetrics.com/referees/5137-wilton-pereira-sampaio,5,True
szymon-marciniak-pl,Szymon Marciniak,Poland,UEFA,pl,POL,675,szymon-marciniak,https://footymetrics.com/referees/675-szymon-marciniak,2,True
clément-turpin-fr,Clément Turpin,France,UEFA,fr,FRA,64,clement-turpin,https://footymetrics.com/referees/64-clement-turpin,17,True
felix-zwayer-de,Felix Zwayer,Germany,UEFA,de,GER,678,felix-zwayer,https://footymetrics.com/referees/678-felix-zwayer,11,True
istvan-kovacs-ro,Istvan Kovacs,Romania,UEFA,ro,ROU,682,istvan-kovacs,https://footymetrics.com/referees/682-istvan-kovacs,155,True
gustavo-tejera-uy,Gustavo Tejera,Uruguay,CONMEBOL,uy,URU,5424,gustavo-tejera,https://footymetrics.com/referees/5424-gustavo-tejera,158,True
yael-falcón-pérez-ar,Yael Falcón Pérez,Argentina,CONMEBOL,ar,ARG,4811,yael-falcon-perez,https://footymetrics.com/referees/4811-yael-falcon-perez,44,True
françois-letexier-fr,François Letexier,France,UEFA,fr,FRA,101,francois-letexier,https://footymetrics.com/referees/101-francois-letexier,17,True
