referee_id,source,window,matches,yellow_pg,red_pg,penalty_pg,fouls_pg,total_yellows,total_reds,total_penalties,total_fouls,fixtures_with_red,fixtures_with_penalty,fixtures_no_cards,computed_at
anthony-taylor-gb,footymetrics,career,263,3.9,0.16,0.29,21.44,1026,42,76,5639,37,65,15,2026-06-22T11:10:36
danny-desmond-makkelie-cw,footymetrics,career,254,3.38,0.15,0.28,22.28,859,38,71,5659,37,61,16,2026-06-22T11:10:36
michael-oliver-gb,footymetrics,career,251,3.68,0.14,0.29,22.78,924,35,73,5718,31,58,7,2026-06-22T11:10:36
darío-herrera-ar,footymetrics,career,249,5.48,0.34,0.26,25.03,1365,85,65,6232,70,54,5,2026-06-22T11:10:36
facundo-tello-figueroa-ar,footymetrics,career,247,4.7,0.25,0.27,23.98,1161,62,67,5923,52,61,25,2026-06-22T11:10:36
raphael-claus-br,footymetrics,career,225,4.11,0.19,0.31,23.99,925,43,70,5398,36,61,5,2026-06-22T11:10:36
wilton-pereira-sampaio-br,footymetrics,career,221,4.77,0.23,0.28,25.81,1054,51,62,5704,40,56,4,2026-06-22T11:10:36
szymon-marciniak-pl,footymetrics,career,214,4.25,0.13,0.39,25.21,910,28,83,5395,26,69,7,2026-06-22T11:10:36
clément-turpin-fr,footymetrics,career,204,3.23,0.23,0.38,23.49,659,47,78,4792,36,67,11,2026-06-22T11:10:36
felix-zwayer-de,footymetrics,career,199,4.7,0.15,0.31,22.72,935,30,62,4521,28,50,4,2026-06-22T11:10:36
istvan-kovacs-ro,footymetrics,career,197,4.96,0.26,0.41,25.26,977,51,81,4976,49,62,4,2026-06-22T11:10:36
gustavo-tejera-uy,footymetrics,career,188,4.93,0.28,0.32,23.05,927,53,60,4333,43,53,1,2026-06-22T11:10:36
yael-falcón-pérez-ar,footymetrics,career,185,5.27,0.26,0.27,25.81,975,48,50,4775,46,40,8,2026-06-22T11:10:36
françois-letexier-fr,footymetrics,career,183,3.96,0.22,0.34,22.54,725,40,62,4125,36,54,2,2026-06-22T11:10:36
maurizio-mariani-it,footymetrics,career,182,3.98,0.2,0.3,25.2,724,36,55,4586,30,45,1,2026-06-22T11:10:36
ramon-abatti-br,footymetrics,career,180,4.56,0.25,0.26,28.59,821,45,47,5146,39,41,4,2026-06-22T11:10:36
césar-arturo-ramos-palazuelos-mx,footymetrics,career,173,4.42,0.42,0.4,23.54,765,73,69,4072,56,56,5,2026-06-22T11:10:36
glenn-nyberg-se,footymetrics,career,165,3.52,0.12,0.21,24.81,581,20,35,4094,19,32,6,2026-06-22T11:10:36
alejandro-josé-hernández-hernández-es,footymetrics,career,165,5.23,0.23,0.4,25.42,863,38,66,4194,31,49,1,2026-06-22T11:10:36
sandro-schärer-ch,footymetrics,career,153,4.33,0.24,0.35,24.89,662,37,54,3808,36,47,3,2026-06-22T11:10:36
espen-eskås-no,footymetrics,career,147,3.41,0.1,0.2,20.6,501,15,29,3028,14,27,8,2026-06-22T11:10:36
alireza-faghani-ir,footymetrics,career,141,3.67,0.11,0.23,19.67,517,16,32,2773,15,27,9,2026-06-22T11:10:36
joão-pedro-silva-pinheiro-pt,footymetrics,career,141,4.6,0.21,0.28,25.45,649,30,39,3588,26,34,3,2026-06-22T11:10:36
drew-fischer-ca,footymetrics,career,122,3.64,0.16,0.26,23.43,444,20,32,2858,16,26,8,2026-06-22T11:10:36
amin-mohamed-omar-eg,footymetrics,career,116,3.84,0.2,0.36,16.97,445,23,42,1969,21,35,4,2026-06-22T11:10:36
yusuke-araki-jp,footymetrics,career,113,2.88,0.14,0.27,21.16,325,16,31,2391,15,26,12,2026-06-22T11:10:36
abdulrahman-ibrahim-al-jassim-qa,footymetrics,career,108,4.31,0.24,0.5,22.81,465,26,54,2463,23,42,4,2026-06-22T11:10:36
ning-ma-cn,footymetrics,career,108,4.2,0.33,0.32,25.59,454,36,35,2764,31,31,5,2026-06-22T11:10:36
omar-mohamed-al-ali-ae,footymetrics,career,102,3.71,0.27,0.48,23.71,378,28,49,2418,23,37,6,2026-06-22T11:10:36
ismail-elfath-us,footymetrics,career,94,4.26,0.23,0.39,24.55,400,22,37,2308,18,30,4,2026-06-22T11:10:36
slavko-vinčić-si,footymetrics,career,89,3.93,0.12,0.18,25.54,350,11,16,2273,9,16,4,2026-06-22T11:10:36
jesús-valenzuela-sáez-ve,footymetrics,career,87,5.13,0.24,0.2,27.31,446,21,17,2376,19,16,0,2026-06-22T11:10:36
jalal-jayed-ma,footymetrics,career,84,3.73,0.14,0.5,15.29,313,12,42,1284,12,35,3,2026-06-22T11:10:36
tori-penso-us,footymetrics,career,77,3.81,0.09,0.19,21.21,293,7,15,1633,7,13,2,2026-06-22T11:10:36
kevin-ortega-pe,footymetrics,career,63,4.9,0.21,0.4,25.6,309,13,25,1613,12,18,0,2026-06-22T11:10:36
cristián-garay-cl,footymetrics,career,57,4.04,0.23,0.25,22.12,230,13,14,1261,11,14,0,2026-06-22T11:10:36
andrés-josé-rojas-noguera-co,footymetrics,career,56,5.07,0.29,0.18,24.82,284,16,10,1390,14,9,0,2026-06-22T11:10:36
adham-mohammad-tumah-makhadmeh-jo,footymetrics,career,49,3.41,0.1,0.39,21.9,167,5,19,1073,5,14,7,2026-06-22T11:10:36
ilgiz-tantashev-uz,footymetrics,career,48,3.52,0.27,0.23,21.08,169,13,11,1012,12,9,3,2026-06-22T11:10:36
juan-gabriel-benítez-py,footymetrics,career,36,3.58,0.17,0.31,23.22,129,6,11,836,5,8,2,2026-06-22T11:10:36
pierre-ghislain-atcho-ga,footymetrics,career,36,3.39,0.11,0.14,22.33,122,4,5,804,4,5,4,2026-06-22T11:10:36
katia-itzel-garcía-mx,footymetrics,career,33,4.27,0.06,0.27,22.45,141,2,9,741,2,9,1,2026-06-22T11:10:36
abongile-tom-za,footymetrics,career,33,4.64,0.21,0.58,21.24,153,7,19,701,7,14,2,2026-06-22T11:10:36
dahane-beida-mr,footymetrics,career,31,3.32,0.1,0.32,27.23,103,3,10,844,2,7,1,2026-06-22T11:10:36
mustapha-ghorbal-dz,footymetrics,career,31,3.97,0.26,0.39,29.29,123,8,12,908,6,9,0,2026-06-22T11:10:36
ivan-barton-sv,footymetrics,career,27,3.85,0.37,0.63,22.63,104,10,17,611,8,12,1,2026-06-22T11:10:36
oshane-nation-jm,footymetrics,career,14,3.5,0.14,0.43,24.21,49,2,6,339,1,3,3,2026-06-22T11:10:36
juan-calderón-cr,footymetrics,career,10,3.3,0.1,0.3,23.4,33,1,3,234,1,2,1,2026-06-22T11:10:36
héctor-said-martínez-sorto-hn,footymetrics,career,6,3.17,0.33,0.0,21.83,19,2,0,131,2,0,0,2026-06-22T11:10:36
campbell-kirk-kawana-waugh-nz,footymetrics,career,2,3.0,0.0,0.0,0.0,6,0,0,0,0,0,0,2026-06-22T11:10:36
said-martinez-xx,footymetrics,career,1,3.0,0.0,1.0,23.0,3,0,1,23,0,1,0,2026-06-22T11:10:36
anthony-taylor-gb,footymetrics,last_5,5,3.4,0.0,0.4,24.2,17,0,2,121,0,1,0,2026-06-22T11:10:36
anthony-taylor-gb,footymetrics,last_10,10,3.9,0.0,0.3,23.3,39,0,3,233,0,2,1,2026-06-22T11:10:36
