match_number,espn_match_id,fifa_match_id,fifa_id_ifes,seed_match_id,kickoff_utc,kickoff_local,date_et,kickoff_et,stage,espn_season_slug,home_nation_id,away_nation_id,fifa_home_team_id,fifa_away_team_id,fifa_home_tactics,fifa_away_tactics,stadium_id,fifa_stadium_id,espn_venue_name,venue_string,status,home_score,away_score,fifa_attendance,fifa_referee_id,fifa_referee_country,fifa_referee_name,espn_status_raw,espn_notes
1,760415,400021443,151600,1.0,2026-06-11 19:00:00+00:00,2026-06-11 13:00:00-06:00,2026-06-11,15:00,group_a,group-stage,MEX,RSA,43911,43883,4-1-2-3,5-3-2,azteca,400222084,Estadio Banorte,"Estadio Azteca, Mexico City",finished,2,0,80824,361561,BRA,Wilton SAMPAIO,STATUS_FULL_TIME,
2,760414,400021441,151608,2.0,2026-06-12 02:00:00+00:00,2026-06-11 20:00:00-06:00,2026-06-11,22:00,group_a,group-stage,KOR,CZE,43822,43995,3-4-3,5-2-3,akron,400252150,Estadio Akron,"Estadio Akron, Zapopan",finished,2,1,44985,392013,EGY,Amin Mohamed Omar,STATUS_FULL_TIME,
3,760416,400021449,151614,7.0,2026-06-12 19:00:00+00:00,2026-06-12 15:00:00-04:00,2026-06-12,15:00,group_b,group-stage,CAN,BIH,43899,44037,4-4-2,4-4-2,bmo,400242032,BMO Field,"BMO Field, Toronto",finished,1,1,43002,416165,ARG,Facundo TELLO,STATUS_FULL_TIME,
4,760417,400021458,151625,19.0,2026-06-13 01:00:00+00:00,2026-06-12 18:00:00-07:00,2026-06-12,21:00,group_d,group-stage,USA,PAR,43921,43928,4-2-3-1,4-4-2,sofi,400017978,SoFi Stadium,"SoFi Stadium, Inglewood",finished,4,1,70492,327159,NED,Danny Desmond Makkelie,STATUS_FULL_TIME,
5,760420,400021447,151613,8.0,2026-06-13 19:00:00+00:00,2026-06-13 12:00:00-07:00,2026-06-13,15:00,group_b,group-stage,QAT,SUI,43834,43971,4-2-3-1,4-3-3,levis,400257521,Levi's Stadium,"Levi's Stadium, Santa Clara",finished,1,1,67966,400191,HON,Said MARTINEZ,STATUS_FULL_TIME,
6,760419,400021456,151620,13.0,2026-06-13 22:00:00+00:00,2026-06-13 18:00:00-04:00,2026-06-13,18:00,group_c,group-stage,BRA,MAR,43924,43872,4-4-2,4-2-3-1,metlife,400257536,MetLife Stadium,"MetLife Stadium, East Rutherford",finished,1,1,80663,315008,SVN,Slavko VINCIC,STATUS_FULL_TIME,
7,760418,400021453,151619,14.0,2026-06-14 01:00:00+00:00,2026-06-13 21:00:00-04:00,2026-06-13,21:00,group_c,group-stage,HAI,SCO,43908,43967,4-4-2,4-4-2,gillette,400248623,Gillette Stadium,"Gillette Stadium, Foxborough",finished,0,1,64146,375306,ALG,Mustapha Ghorbal,STATUS_FULL_TIME,
8,760421,400021463,151626,20.0,2026-06-14 04:00:00+00:00,2026-06-13 21:00:00-07:00,2026-06-14,00:00,group_d,group-stage,AUS,TUR,43976,43972,5-4-1,4-2-3-1,bcplace,400248370,BC Place,"BC Place, Vancouver",finished,2,0,52497,360305,VEN,Jesús Valenzuela Sáez,STATUS_FULL_TIME,
9,760422,400021464,151631,25.0,2026-06-14 17:00:00+00:00,2026-06-14 12:00:00-05:00,2026-06-14,13:00,group_e,group-stage,GER,CUW,43948,1895293,3-4-3,4-1-2-3,nrg,400249385,NRG Stadium,"NRG Stadium, Houston",finished,7,1,68021,416524,MAR,Jalal Jayed,STATUS_FULL_TIME,
10,760425,400021470,151638,31.0,2026-06-14 20:00:00+00:00,2026-06-14 15:00:00-05:00,2026-06-14,16:00,group_f,group-stage,NED,JPN,43960,43819,4-1-2-3,3-4-3,att,400257526,AT&T Stadium,"AT&T Stadium, Arlington",finished,2,2,69285,392406,USA,Ismail Elfath,STATUS_FULL_TIME,
11,760423,400021467,151632,26.0,2026-06-14 23:00:00+00:00,2026-06-14 19:00:00-04:00,2026-06-14,19:00,group_e,group-stage,CIV,ECU,43854,43927,4-4-2,4-4-2,lincoln,400248622,Lincoln Financial Field,"Lincoln Financial Field, Philadelphia",finished,1,0,68274,399029,FRA,François Letexier,STATUS_FULL_TIME,
12,760424,400021474,151637,32.0,2026-06-15 02:00:00+00:00,2026-06-14 20:00:00-06:00,2026-06-14,22:00,group_f,group-stage,SWE,TUN,43970,43888,3-4-1-2,5-3-2,bbva,400238450,Estadio BBVA,"Estadio BBVA, Monterrey",finished,5,1,50987,434995,ARG,Yael Falcón Pérez,STATUS_FULL_TIME,
13,760428,400021482,151649,43.0,2026-06-15 16:00:00+00:00,2026-06-15 12:00:00-04:00,2026-06-15,12:00,group_h,group-stage,ESP,CPV,43969,43850,4-1-2-3,4-1-2-3,mercedes,400098290,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta",finished,0,0,67640,361034,JOR,Adham Mohammad Tumah Makhadmeh,STATUS_FULL_TIME,
14,760426,400021478,151643,37.0,2026-06-15 19:00:00+00:00,2026-06-15 12:00:00-07:00,2026-06-15,15:00,group_g,group-stage,BEL,EGY,43935,43855,4-2-3-1,4-2-3-1,lumen,400216606,Lumen Field,"Lumen Field, Seattle",finished,1,1,66775,446932,BRA,Ramon ABATTI,STATUS_FULL_TIME,
15,760429,400021486,151650,44.0,2026-06-15 22:00:00+00:00,2026-06-15 18:00:00-04:00,2026-06-15,18:00,group_h,group-stage,KSA,URU,43835,43930,4-4-2,4-4-2,hardrock,400257525,Hard Rock Stadium,"Hard Rock Stadium, Miami Gardens",finished,1,1,62764,415965,ITA,Maurizio Mariani,STATUS_FULL_TIME,
16,760427,400021476,151644,38.0,2026-06-16 01:00:00+00:00,2026-06-15 18:00:00-07:00,2026-06-15,21:00,group_g,group-stage,IRN,NZL,43817,43978,4-3-3,4-4-2,sofi,400017978,SoFi Stadium,"SoFi Stadium, Inglewood",finished,2,2,70108,374810,MEX,César Arturo Ramos Palazuelos,STATUS_FULL_TIME,
17,760432,400021490,151656,49.0,2026-06-16 19:00:00+00:00,2026-06-16 15:00:00-04:00,2026-06-16,15:00,group_i,group-stage,FRA,SEN,43946,43879,4-2-3-1,4-3-3,metlife,400257536,MetLife Stadium,"MetLife Stadium, East Rutherford",finished,3,1,80545,283448,AUS,Alireza FAGHANI,STATUS_FULL_TIME,
18,760430,400021488,151655,50.0,2026-06-16 22:00:00+00:00,2026-06-16 18:00:00-04:00,2026-06-16,18:00,group_i,group-stage,IRQ,NOR,43818,43961,4-4-2,4-1-2-3,gillette,400248623,Gillette Stadium,"Gillette Stadium, Foxborough",finished,1,4,63106,408417,GAB,Pierre Ghislain Atcho,STATUS_FULL_TIME,
19,760433,400021496,151662,55.0,2026-06-17 01:00:00+00:00,2026-06-16 20:00:00-05:00,2026-06-16,21:00,group_j,group-stage,ARG,ALG,43922,43843,4-3-3,4-3-3,arrowhead,400254717,GEHA Field at Arrowhead Stadium,"Arrowhead Stadium, Kansas City",finished,3,0,69045,327975,POL,Szymon MARCINIAK,STATUS_FULL_TIME,
20,760431,400021498,151661,56.0,2026-06-17 04:00:00+00:00,2026-06-16 21:00:00-07:00,2026-06-17,00:00,group_j,group-stage,AUT,JOR,43934,43820,4-2-3-1,3-4-3,levis,400257521,Levi's Stadium,"Levi's Stadium, Santa Clara",finished,3,1,68527,408591,MTN,Dahane BEIDA,STATUS_FULL_TIME,
21,760435,400021502,151668,61.0,2026-06-17 17:00:00+00:00,2026-06-17 12:00:00-05:00,2026-06-17,13:00,group_k,group-stage,POR,COD,43963,20014,4-2-3-1,5-3-2,nrg,400249385,NRG Stadium,"NRG Stadium, Houston",finished,1,1,68777,361083,QAT,Abdulrahman AL JASSIM,STATUS_FULL_TIME,
22,760437,400021507,151673,67.0,2026-06-17 20:00:00+00:00,2026-06-17 15:00:00-05:00,2026-06-17,16:00,group_l,group-stage,ENG,CRO,43942,43938,4-2-3-1,3-4-3,att,400257526,AT&T Stadium,"AT&T Stadium, Arlington",finished,4,2,70389,314589,FRA,Clément Turpin,STATUS_FULL_TIME,
23,760434,400021510,151674,68.0,2026-06-17 23:00:00+00:00,2026-06-17 19:00:00-04:00,2026-06-17,19:00,group_l,group-stage,GHA,PAN,43860,43914,4-1-2-3,3-4-3,bmo,400242032,BMO Field,"BMO Field, Toronto",finished,1,0,42942,392336,SWE,Glenn Nyberg,STATUS_FULL_TIME,
24,760436,400021504,151667,62.0,2026-06-18 02:00:00+00:00,2026-06-17 20:00:00-06:00,2026-06-17,22:00,group_k,group-stage,UZB,COL,44005,43926,3-4-3,4-1-2-3,azteca,400222084,Estadio Banorte,"Estadio Azteca, Mexico City",finished,1,3,80824,360460,ENG,Anthony Taylor,STATUS_FULL_TIME,
25,760438,400021440,151610,3.0,2026-06-18 16:00:00+00:00,2026-06-18 12:00:00-04:00,2026-06-18,12:00,group_a,group-stage,CZE,RSA,43995,43883,3-5-2,4-3-3,mercedes,400098290,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta",finished,1,1,67442,428431,USA,Tori Penso,STATUS_FULL_TIME,
