fifa_player_id,youth_appearances,youth_goals,youth_assists,youth_weighted_avg_rating,youth_active_seasons,youth_num_seasons,youth_num_nations,senior_appearances,senior_goals,senior_assists,senior_weighted_avg_rating,senior_active_seasons,senior_num_seasons,senior_num_nations
485070,0,0,0,,[],0,0,17,0,0,6.579,"[""2024"", ""2025"", ""2026""]",3,1
403596,11,0,0,6.98,"[""2018"", ""2020""]",2,2,60,3,1,7.001,"[""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",8,1
395516,13,0,0,6.8,"[""2016"", ""2018"", ""2020""]",3,2,69,4,3,7.101,"[""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",10,1
400634,10,1,0,,"[""2017""]",1,1,101,7,1,6.909,"[""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",10,1
425701,15,3,0,6.99,"[""2019"", ""2020""]",2,2,48,3,2,7.07,"[""2019"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",7,1
419518,6,0,0,,"[""2023""]",1,1,29,1,1,6.73,"[""2021"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",6,1
430763,6,2,1,7.7,"[""2020""]",1,1,64,5,6,7.126,"[""2019/2020"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",8,1
416576,0,0,0,,[],0,0,5,0,0,6.7,"[""2026""]",1,1
356731,10,1,0,,"[""2012""]",1,2,128,47,13,6.825,"[""2013"", ""2014"", ""2015"", ""2016"", ""2017"", ""2018"", ""2019"", ""2020"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",13,1
430766,11,4,4,7.93,"[""2020""]",1,1,54,7,6,6.888,"[""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",8,1
430759,0,0,0,,[],0,0,48,6,3,6.463,"[""2021"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",6,1
441260,0,0,0,,[],0,0,7,0,0,6.217,"[""2021"", ""2022"", ""2023"", ""2026""]",4,1
215285,6,0,0,7.09,"[""2020""]",1,1,152,0,0,6.807,"[""2005"", ""2007"", ""2008"", ""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014"", ""2015"", ""2016"", ""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024/2025"", ""2026""]",20,1
514336,0,0,0,,[],0,0,8,1,1,6.429,"[""2025"", ""2026""]",2,1
441261,0,0,0,,[],0,0,36,2,0,6.844,"[""2021"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",6,1
429157,8,0,0,,"[""2017""]",1,1,29,6,1,6.706,"[""2018"", ""2023/2024"", ""2024"", ""2025"", ""2026""]",5,2
372090,3,0,0,,"[""2015""]",1,1,93,12,8,6.848,"[""2016"", ""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",11,1
461177,15,1,0,,"[""2023"", ""2025""]",2,3,7,0,0,6.328,"[""2024"", ""2025"", ""2026""]",3,1
500037,6,3,2,,"[""2025""]",1,1,12,1,2,6.968,"[""2023"", ""2025"", ""2026""]",3,2
500038,0,0,0,,[],0,0,10,0,0,6.617,"[""2025"", ""2026""]",2,1
406135,10,2,2,,"[""2016"", ""2017""]",2,1,27,3,1,6.816,"[""2023"", ""2024"", ""2025"", ""2026""]",4,1
386339,8,3,0,,"[""2015""]",1,1,14,3,1,6.039,"[""2023"", ""2024"", ""2025"", ""2026""]",4,1
402772,0,0,0,,[],0,0,126,3,8,7.065,"[""2016"", ""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",11,1
448051,0,0,0,,[],0,0,46,5,3,7.255,"[""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",5,1
403585,14,4,1,6.69,"[""2018"", ""2020""]",2,2,70,5,8,6.915,"[""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",9,1
464533,6,2,0,,"[""2021"", ""2022""]",2,1,15,2,3,7.223,"[""2019"", ""2023"", ""2025"", ""2026""]",4,4
274281,16,0,0,,"[""2009"", ""2010"", ""2014""]",3,2,89,0,0,6.723,"[""2013"", ""2014"", ""2015"", ""2016"", ""2017"", ""2018"", ""2019"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",13,1
423874,6,1,0,,"[""2022"", ""2023""]",2,1,16,0,0,6.88,"[""2019"", ""2025"", ""2026""]",3,3
492315,0,0,0,,[],0,0,5,0,0,7.04,"[""2022"", ""2026""]",2,1
395088,6,0,0,,"[""2018""]",1,1,81,4,5,7.241,"[""2018"", ""2019"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",7,1
418485,8,0,0,,"[""2020"", ""2022"", ""2023""]",3,1,7,0,0,6.301,"[""2025"", ""2026""]",2,1
395084,6,0,0,,"[""2018""]",1,1,75,7,4,7.376,"[""2018"", ""2019"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",7,1
307849,10,3,0,,"[""2016"", ""2018""]",2,1,153,59,18,7.398,"[""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014"", ""2015"", ""2016"", ""2017"", ""2018"", ""2019"", ""2020"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",17,2
402817,11,5,0,,"[""2017"", ""2022""]",2,2,31,4,0,6.975,"[""2014"", ""2019"", ""2022"", ""2025"", ""2026""]",5,2
430387,2,2,0,,"[""2020""]",1,1,45,12,2,6.79,"[""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",5,1
390525,7,0,0,,"[""2014""]",1,1,107,15,16,6.91,"[""2015"", ""2016"", ""2017"", ""2018"", ""2019"", ""2020"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",11,1
395083,14,4,1,,"[""2016"", ""2018""]",2,1,84,18,9,6.877,"[""2014"", ""2016"", ""2017"", ""2018"", ""2019"", ""2020"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",11,2
402820,17,0,0,6.15,"[""2017"", ""2018"", ""2020""]",3,2,6,0,0,6.665,"[""2016"", ""2022"", ""2025"", ""2026""]",4,2
423880,6,0,3,,"[""2023"", ""2024""]",2,1,21,1,1,6.79,"[""2019"", ""2025"", ""2026""]",3,3
522282,0,0,0,,[],0,0,1,0,0,6.37,"[""2026""]",1,1
448580,11,0,0,,"[""2018""]",1,1,36,0,2,6.975,"[""2018"", ""2019"", ""2022"", ""2025"", ""2026""]",5,1
479316,6,0,0,,"[""2022""]",1,1,15,1,0,6.571,"[""2023"", ""2025"", ""2026""]",3,1
464374,12,2,1,,"[""2023"", ""2025""]",2,2,13,2,4,7.135,"[""2025"", ""2026""]",2,1
448586,0,0,0,,[],0,0,29,7,1,6.626,"[""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",5,1
418490,19,5,5,7.1,"[""2019"", ""2020"", ""2022""]",3,2,52,13,13,7.35,"[""2018"", ""2019"", ""2020"", ""2021"", ""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",9,2
448585,4,0,0,,"[""2022"", ""2023""]",2,1,10,0,0,6.447,"[""2023"", ""2026""]",2,1
397753,5,0,0,,"[""2018""]",1,1,48,0,0,6.664,"[""2017"", ""2018"", ""2019"", ""2021"", ""2022"", ""2023"", ""2025"", ""2026""]",8,1
429608,10,0,1,7.55,"[""2020"", ""2022""]",2,1,36,0,5,7.058,"[""2023"", ""2024"", ""2025"", ""2026""]",4,1
511828,4,0,0,,"[""2021"", ""2022"", ""2025""]",3,2,7,0,0,6.494,"[""2025"", ""2026""]",2,1
430385,7,0,2,7.21,"[""2020""]",1,1,23,3,3,6.934,"[""2022"", ""2025"", ""2026""]",3,1
423855,6,0,0,,"[""2022"", ""2024""]",2,1,16,3,1,6.76,"[""2019"", ""2022"", ""2025"", ""2026""]",4,2
429600,9,4,2,7.41,"[""2020""]",1,1,18,4,2,7.254,"[""2019"", ""2021"", ""2022"", ""2023"", ""2025"", ""2026""]",6,1
441255,0,0,0,,[],0,0,20,0,0,6.653,"[""2022"", ""2023"", ""2024"", ""2025"", ""2026""]",5,1
