fifa_player_id,fotmob_player_id,kind,fotmob_team_id,team_name,transfer_type,start_date,end_date,active,appearances,goals,assists,has_uncertain_data,season_name,rating
485070,1227878,team,7807,Chivas,,2023-03-04T00:00:00Z,,True,101,0,0,False,,
485070,1227878,team,162404,Tapatio,,2023-03-16T00:00:00Z,2024-12-31T00:00:00Z,False,10,0,0,False,,
485070,1227878,team,162404,Tapatio,"{'text': 'free transfer', 'localizationKey': 'free_transfer'}",2023-03-01T00:00:00Z,2023-03-04T00:00:00Z,False,1,0,,False,,
485070,1227878,team,7807,Chivas,"{'text': 'free transfer', 'localizationKey': 'free_transfer'}",2022-04-08T00:00:00Z,2023-02-28T00:00:00Z,False,,,,False,,
485070,1227878,team,162404,Tapatio,,2022-01-07T00:00:00Z,2022-04-08T00:00:00Z,False,13,0,,False,,
485070,1227878,team,7807,Chivas,,2022-01-01T00:00:00Z,2022-01-06T00:00:00Z,False,,,,False,,
485070,1227878,team,162404,Tapatio,,2020-07-01T00:00:00Z,2021-12-31T00:00:00Z,False,38,0,0,False,,
485070,1227878,season,7807,Chivas,,,,,34,0,0,,2025/2026,6.96
485070,1227878,season,7807,Chivas,,,,,7,0,0,,2025,6.39
485070,1227878,season,7807,Chivas,,,,,33,0,0,,2024/2025,7.08
485070,1227878,season,7807,Chivas,,,,,2,0,0,,2024,6.13
485070,1227878,season,7807,Chivas,,,,,23,0,0,,2023/2024,7.07
485070,1227878,season,7807,Chivas,,,,,2,0,0,,2023,6.20
485070,1227878,season,162404,Tapatio,,,,,6,0,0,,2023/2024,
485070,1227878,season,162404,Tapatio,,,,,5,0,0,,2022/2023,
485070,1227878,season,162404,Tapatio,,,,,27,0,0,,2021/2022,
485070,1227878,season,162404,Tapatio,,,,,24,0,0,,2020/2021,
403596,727586,team,8619,PAOK Thessaloniki,,2026-02-05T00:00:00,,True,11,0,0,False,,
403596,727586,team,6578,Cruz Azul,,2024-07-04T00:00:00,2026-02-05T00:00:00,False,67,3,5,False,,
403596,727586,team,8593,Ajax,"{'text': 'back from loan', 'localizationKey': 'transfer_type_back_from_loan'}",2024-07-01T00:00:00,2024-07-04T00:00:00,False,,,,False,,
403596,727586,team,9773,FC Porto,"{'text': 'on loan', 'localizationKey': 'on_loan'}",2023-08-29T00:00:00,2024-06-30T00:00:00,False,23,0,2,False,,
403596,727586,team,8593,Ajax,,2022-08-10T00:00:00,2023-08-29T00:00:00,False,26,3,3,False,,
403596,727586,team,6576,CF America,,2018-07-01T00:00:00,2022-08-10T00:00:00,False,150,2,9,False,,
403596,727586,team,1394436,Liga MX All-Stars,,2021-08-23T00:00:00,2021-08-27T00:00:00,False,,,,False,,
403596,727586,team,7857,Santos Laguna,,2016-01-01T00:00:00,2018-06-30T00:00:00,False,40,0,2,False,,
403596,727586,season,8619,PAOK Thessaloniki,,,,,11,0,0,,2025/2026,6.72
403596,727586,season,6578,Cruz Azul,,,,,19,0,1,,2025/2026,6.82
403596,727586,season,6578,Cruz Azul,,,,,9,2,1,,2025,7.01
403596,727586,season,6578,Cruz Azul,,,,,35,1,3,,2024/2025,7.00
403596,727586,season,6578,Cruz Azul,,,,,4,0,0,,2024,6.89
403596,727586,season,9773,FC Porto,"{'text': 'on loan', 'localizationKey': 'on_loan'}",,,,23,0,2,,2023/2024,6.69
403596,727586,season,8593,Ajax,,,,,26,3,3,,2022/2023,7.10
403596,727586,season,6576,CF America,,,,,3,0,0,,2022/2023,6.82
403596,727586,season,6576,CF America,,,,,32,0,2,,2021/2022,6.91
403596,727586,season,6576,CF America,,,,,7,0,1,,2021,7.20
403596,727586,season,6576,CF America,,,,,33,1,2,,2020/2021,7.03
403596,727586,season,6576,CF America,,,,,5,0,0,,2020,6.82
403596,727586,season,6576,CF America,,,,,23,0,1,,2019/2020,6.90
403596,727586,season,6576,CF America,,,,,3,0,0,,2019,
403596,727586,season,6576,CF America,,,,,44,1,3,,2018/2019,6.96
403596,727586,season,7857,Santos Laguna,,,,,15,0,1,,2017/2018,
403596,727586,season,7857,Santos Laguna,,,,,25,0,1,,2016/2017,
395516,664644,team,8710,Lokomotiv Moscow,,2024-09-12T00:00:00,,True,49,6,0,False,,
395516,664644,team,9865,Almeria,,2023-09-01T00:00:00,2024-09-12T00:00:00,False,23,0,0,False,,
395516,664644,team,8558,Espanyol,,2023-01-02T00:00:00,2023-09-01T00:00:00,False,22,3,0,False,,
395516,664644,team,7849,Monterrey,,2015-07-01T00:00:00,2022-12-31T00:00:00,False,265,13,7,False,,
395516,664644,team,1394436,Liga MX All-Stars,,2021-08-23T00:00:00,2021-08-27T00:00:00,False,,,,False,,
395516,664644,season,8710,Lokomotiv Moscow,,,,,29,4,0,,2025/2026,7.40
395516,664644,season,8710,Lokomotiv Moscow,,,,,20,2,0,,2024/2025,6.98
395516,664644,season,9865,Almeria,,,,,1,0,0,,2024/2025,6.38
395516,664644,season,9865,Almeria,,,,,22,0,0,,2023/2024,6.39
395516,664644,season,8558,Espanyol,,,,,22,3,0,,2022/2023,6.72
395516,664644,season,7849,Monterrey,,,,,16,0,0,,2022/2023,6.91
395516,664644,season,7849,Monterrey,,,,,28,1,1,,2021/2022,6.97
395516,664644,season,7849,Monterrey,,,,,7,1,0,,2021,6.76
395516,664644,season,7849,Monterrey,,,,,30,0,2,,2020/2021,6.85
395516,664644,season,7849,Monterrey,,,,,34,2,1,,2019/2020,7.14
395516,664644,season,7849,Monterrey,,,,,9,0,0,,2019,
395516,664644,season,7849,Monterrey,,,,,26,2,0,,2018/2019,6.56
395516,664644,season,7849,Monterrey,,,,,37,0,1,,2017/2018,
395516,664644,season,7849,Monterrey,,,,,41,5,2,,2016/2017,
395516,664644,season,7849,Monterrey,,,,,37,2,0,,2015/2016,
400634,783505,team,8654,West Ham United,"{'text': 'back from loan', 'localizationKey': 'transfer_type_back_from_loan'}",2026-07-01T00:00:00,,False,,,,False,,
400634,783505,team,8695,Fenerbahçe,"{'text': 'on loan', 'localizationKey': 'on_loan'}",2025-08-23T00:00:00,2026-06-30T00:00:00,True,18,0,1,False,,
400634,783505,team,8654,West Ham United,,2023-08-10T00:00:00,2025-08-23T00:00:00,False,73,2,3,False,,
400634,783505,team,8593,Ajax,,2019-07-19T00:00:00,2023-08-10T00:00:00,False,147,13,6,False,,
