nation_id,fifa_player_id,name,short_name,birth_date,jersey_num,height_cm,weight_kg,position,real_position,real_position_side,preferred_foot,picture_url,fotmob_player_id,fotmob_name,club_fotmob_id,club_name,position_ids_desc,wc_rating,wc_goals,wc_assists,wc_yellow_cards,wc_red_cards,tm_player_id,tm_slug,club_tm_id,club_name_tm,contract_end,preferred_foot_fotmob
MEX,485070,Raul RANGEL,R. RANGEL,2000-02-25T00:00:00Z,1,190.0,87.0,Goalkeeper,Goalkeeper,Unknown,Right,https://digitalhub.fifa.com/transform/3ea092ae-841d-4dc6-9ca0-78eb4dfb97c7/RANGEL-Raul_485070,1227878.0,Raúl Rangel,7807,Chivas,GK,7.92,0.0,0.0,0.0,0.0,802855.0,raul-rangel,6711.0,Deportivo Guadalajara,2028-06-30T00:00:00.000Z,Right
MEX,403596,Jorge SANCHEZ,J. SÁNCHEZ,1997-12-10T00:00:00Z,2,176.0,72.0,Defender,Defender,Unknown,Right,https://digitalhub.fifa.com/transform/8640d435-8aba-4b52-a864-9952d3a6db5c/SANCHEZ-Jorge_403596,727586.0,Jorge Sánchez,8619,PAOK Thessaloniki,"RB,RWB,RM,CB",6.81,0.0,0.0,0.0,0.0,356044.0,jorge-sanchez,1091.0,PAOK Thessaloniki,2029-06-30T00:00:00.000Z,Right
MEX,395516,Cesar MONTES,C. MONTES,1997-02-24T00:00:00Z,3,191.0,70.0,Defender,Defender,Unknown,Right,https://digitalhub.fifa.com/transform/c8c3fa3a-9001-4221-ab3c-754158c0ad8a/MONTES-Cesar_395516,664644.0,César Montes,8710,Lokomotiv Moscow,CB,6.05,0.0,0.0,0.0,1.0,387687.0,cesar-montes,932.0,Lokomotiv Moscow,2029-06-30T00:00:00.000Z,Right
MEX,400634,Edson ALVAREZ,E. ÁLVAREZ,1997-10-24T00:00:00Z,4,180.0,76.0,Defender,Defender,Unknown,Right,https://digitalhub.fifa.com/transform/b1581870-6bef-4c29-9a06-f306bbf03ca8/ALVAREZ-Edson_400634,783505.0,Edson Álvarez,8695,Fenerbahçe,"CDM,CM,CB",7.22,0.0,0.0,0.0,0.0,401356.0,edson-alvarez,36.0,Fenerbahce,2028-06-30T00:00:00.000Z,Right
MEX,425701,Johan VASQUEZ,J. VÁSQUEZ,1998-10-22T00:00:00Z,5,182.0,72.0,Defender,Defender,Unknown,Left,https://digitalhub.fifa.com/transform/838cb65f-3d60-4acb-855d-35a364c25f1a/VASQUEZ-Johan_425701,914103.0,Johan Vásquez,10233,Genoa,CB,7.02,0.0,0.0,0.0,0.0,532937.0,johan-vasquez,252.0,Genoa CFC,2028-06-30T00:00:00.000Z,Left
MEX,419518,Erik LIRA,E. LIRA,2000-05-08T00:00:00Z,6,172.0,70.0,Midfielder,Midfielder,Unknown,Right,https://digitalhub.fifa.com/transform/83109586-542d-4950-83eb-f3388757ef90/LIRA-Erik_419518,971628.0,Érik Lira,6578,Cruz Azul,"CB,CDM,CM",7.3,0.0,1.0,0.0,0.0,602324.0,erik-lira,3711.0,CD Cruz Azul,2029-06-30T00:00:00.000Z,Right
MEX,430763,Luis ROMO,L. ROMO,1995-06-05T00:00:00Z,7,183.0,81.0,Midfielder,Midfielder,Unknown,Right,https://digitalhub.fifa.com/transform/bc7f864e-c553-4995-9eb3-62139e29a7d7/ROMO-Luis_430763,921174.0,Luis Romo,7807,Chivas,"CB,CDM,CM",7.98,1.0,0.0,0.0,0.0,532938.0,luis-romo,6711.0,Deportivo Guadalajara,,Right
MEX,416576,Alvaro FIDALGO,FIDALGO,1997-04-09T00:00:00Z,8,175.0,66.0,Midfielder,Midfielder,Unknown,Right,https://digitalhub.fifa.com/transform/fda68f1a-eceb-4219-8f1b-ed6b1f2e37ed/FIDALGO-Alvaro_416576,895954.0,Álvaro Fidalgo,8603,Real Betis,"CAM,CM,CDM",7.24,0.0,0.0,0.0,0.0,261503.0,alvaro-fidalgo,150.0,Real Betis Balompié,2030-06-30T00:00:00.000Z,Right
MEX,356731,Raul JIMENEZ,RAÚL,1991-05-05T00:00:00Z,9,188.0,79.0,Forward,Forward,Unknown,Right,https://digitalhub.fifa.com/transform/ec48d7a7-0cf7-4fc8-b999-e3c15fee5e98/JIMENEZ-Raul_356731,292313.0,Raul Jiménez,8602,Wolverhampton Wanderers,ST,7.1,1.0,0.0,0.0,0.0,206040.0,raul-jimenez,931.0,Fulham FC,,Right
MEX,430766,Alexis VEGA,A. VEGA,1997-11-25T00:00:00Z,10,175.0,73.0,Forward,Forward,Unknown,Right,https://digitalhub.fifa.com/transform/eeeba73b-bc80-47f5-a1ff-f38f94ff2ee0/VEGA-Alexis_430766,728365.0,Alexis Vega,6618,Toluca,"LW,CAM,ST",5.99,0.0,0.0,0.0,0.0,424689.0,alexis-vega,1804.0,Deportivo Toluca,,Right
MEX,430759,Santiago GIMENEZ,S. GIMENEZ,2001-04-18T00:00:00Z,11,180.0,75.0,Forward,Forward,Unknown,Left,https://digitalhub.fifa.com/transform/0e27d0c6-e057-4d0c-a603-3843fcd0c542/GIMENEZ-Santiago_430759,954092.0,Santiago Giménez,8564,Milan,ST,5.67,0.0,0.0,0.0,0.0,552955.0,santiago-gimenez,5.0,AC Milan,2029-06-30T00:00:00.000Z,Left
MEX,441260,Carlos ACEVEDO,C. ACEVEDO,1996-04-19T00:00:00Z,12,185.0,82.0,Goalkeeper,Goalkeeper,Unknown,Right,https://digitalhub.fifa.com/transform/b84beeec-be0c-493f-85fd-362bf0ead5c6/ACEVEDO-Carlos_441260,751164.0,Carlos Acevedo,7857,Santos Laguna,GK,,0.0,0.0,0.0,0.0,356042.0,carlos-acevedo,1403.0,Santos Laguna,2027-06-30T00:00:00.000Z,Right
MEX,215285,Guillermo OCHOA,G. OCHOA,1985-07-13T00:00:00Z,13,185.0,76.0,Goalkeeper,Goalkeeper,Unknown,Right,https://digitalhub.fifa.com/transform/fedeac9f-968d-4d4c-b08a-5b2bf157c396/OCHOA-Guillermo_215285,31047.0,Guillermo Ochoa,2134,AEL Limassol,GK,,0.0,0.0,0.0,0.0,29559.0,guillermo-ochoa,786.0,AEL Limassol,,Right
