fantasy_player_id,appearances,minutes_played,starting_xi,total_points,total_goals_scored,total_assists,clean_sheets,saves,tackles,chances_created,shots_on_target,scouting_bonus,yellow_cards
1,1,90,0,0,0,0,0,0,4,0,0,0,0
2,1,90,0,0,0,0,0,0,2,0,0,0,0
3,1,90,0,0,0,0,0,0,1,0,0,0,0
7,1,90,0,0,0,0,0,0,2,0,0,0,0
9,1,26,0,1,0,0,0,0,0,0,0,0,0
10,1,64,0,2,0,0,0,0,0,0,0,0,0
11,1,26,0,1,0,0,0,0,0,0,0,0,0
12,1,82,0,2,0,0,0,0,0,0,0,0,0
13,1,64,0,2,0,0,0,0,1,0,0,0,0
18,1,90,0,1,0,0,0,3,0,0,0,0,0
21,1,9,0,1,0,0,1,0,0,0,0,0,0
23,1,8,0,1,0,0,1,0,0,0,0,0,0
24,1,64,0,2,0,0,0,0,2,0,0,0,0
26,1,26,0,1,0,0,0,0,0,0,0,0,0
27,1,90,0,2,0,0,0,0,2,0,0,0,0
28,1,80,0,9,0,0,1,0,2,0,0,1,0
30,1,45,0,1,0,0,1,0,1,0,0,0,0
31,1,10,0,1,0,0,1,0,1,0,0,0,0
38,1,80,0,19,3,0,1,0,2,0,4,0,0
39,1,35,0,1,0,0,1,0,1,0,0,0,0
42,1,35,0,4,0,1,1,0,0,0,0,0,0
45,1,90,0,7,0,0,1,0,0,0,0,0,0
50,1,90,0,9,0,1,1,0,3,0,0,1,0
51,1,10,0,1,0,0,1,0,2,0,0,0,0
55,1,55,0,1,0,0,1,0,2,0,0,0,0
56,1,90,0,8,0,1,1,0,1,1,1,1,0
57,1,90,0,4,0,0,1,0,3,0,0,0,0
58,2,174,0,9,0,0,1,0,1,0,0,1,1
60,2,180,0,9,0,0,1,0,5,0,0,1,1
61,2,135,0,7,0,0,1,0,2,0,0,1,0
63,1,6,0,1,0,0,1,0,0,0,0,0,0
64,2,61,0,2,0,0,2,0,1,0,0,0,0
68,2,106,0,11,1,0,2,0,0,0,2,1,0
70,2,74,0,2,0,0,1,0,2,0,0,0,0
72,2,164,0,9,0,0,1,0,4,0,0,1,1
76,2,180,0,12,0,0,1,9,0,0,0,1,0
77,2,162,0,11,0,1,1,0,4,1,0,1,0
80,2,135,0,12,1,0,2,0,2,0,2,1,0
81,2,180,0,5,0,0,1,0,1,0,0,0,0
85,1,59,0,1,0,0,0,0,0,0,0,0,0
86,1,90,0,2,0,0,0,0,1,0,0,0,0
88,1,31,0,1,0,0,1,0,1,0,0,0,0
90,1,90,0,2,0,0,0,0,1,0,0,0,0
91,1,59,0,1,0,0,0,0,0,0,0,0,0
95,1,45,0,9,1,0,0,0,2,0,2,1,0
97,1,45,0,1,0,0,1,0,0,0,0,0,0
98,1,90,0,3,0,0,0,3,0,0,0,0,0
102,1,31,0,1,0,0,1,0,0,0,1,0,0
103,1,90,0,2,0,0,0,0,2,0,0,0,0
106,1,90,0,3,0,0,0,0,3,0,0,0,0
107,1,90,0,1,0,0,0,0,1,0,0,0,1
108,1,83,0,10,1,0,0,0,1,0,1,1,0
109,1,7,0,1,0,0,1,0,1,0,0,0,0
110,1,31,0,1,0,0,1,0,0,0,0,0,0
111,1,59,0,7,0,1,0,0,4,0,0,1,0
114,2,124,0,9,0,0,2,0,1,0,4,1,1
115,2,88,0,1,0,0,1,0,4,0,0,0,1
116,1,17,0,1,0,0,1,0,0,0,0,0,0
117,2,148,0,8,0,1,1,0,2,0,1,1,0
121,2,180,0,11,0,0,1,0,2,0,1,1,0
123,2,156,0,9,0,0,1,0,3,0,0,1,0
124,2,97,0,2,0,0,2,0,0,0,0,0,1
125,1,86,0,2,0,0,0,0,0,0,0,0,0
127,1,32,0,1,0,0,1,0,1,0,1,0,0
128,1,58,0,1,0,0,1,0,1,0,0,0,0
129,1,66,0,2,0,0,0,0,2,0,0,0,0
135,2,92,0,2,0,0,2,0,3,1,0,0,0
136,1,56,0,1,0,0,0,0,0,0,0,0,0
137,2,180,0,5,0,0,1,0,3,1,1,0,0
138,2,173,0,5,0,0,1,0,1,0,2,0,0
139,2,174,0,6,0,1,0,0,6,1,0,1,0
140,2,180,0,0,0,0,0,0,5,0,1,0,1
141,2,170,0,-1,0,0,0,0,1,0,0,0,0
142,2,180,0,0,0,0,0,0,8,0,0,0,1
146,2,176,0,3,0,0,0,0,4,0,1,0,1
