match_number,espn_match_id,fifa_match_id,fifa_id_ifes,seed_match_id,kickoff_utc,kickoff_local,date_et,kickoff_et,stage,espn_season_slug,home_nation_id,away_nation_id,fifa_home_team_id,fifa_away_team_id,fifa_home_tactics,fifa_away_tactics,stadium_id,fifa_stadium_id,espn_venue_name,venue_string,status,home_score,away_score,fifa_attendance,fifa_referee_id,fifa_referee_country,fifa_referee_name,espn_status_raw,espn_notes,stadium_capacity,roof_type,surface,local_date,local_hour,temperature_c,apparent_temp_c,humidity_pct,home_confederation,home_group,home_pot,home_fifa_rank,home_squad_valuation_m_eur,home_is_host,home_espn_team_id,home_fotmob_team_id,home_tm_team_id,home_all_names,away_confederation,away_group,away_pot,away_fifa_rank,away_squad_valuation_m_eur,away_is_host,away_espn_team_id,away_fotmob_team_id,away_tm_team_id,away_all_names,referee_referee_id,referee_confederation,referee_flag_iso,referee_nation_id,referee_fm_id,referee_slug,referee_fm_url,volume_moneyline,volume_other
1,760415,400021443,151600,1.0,2026-06-11 19:00:00+00:00,2026-06-11 13:00:00-06:00,2026-06-11,15:00,group_a,group-stage,MEX,RSA,43911,43883,4-1-2-3,5-3-2,azteca,400222084,Estadio Banorte,"Estadio Azteca, Mexico City",finished,2,0,80824,361561,BRA,Wilton SAMPAIO,STATUS_FULL_TIME,,87523,open,grass,2026-06-11,13.0,22.6,25.1,53.0,CONCACAF,A,1.0,14.0,240.0,True,203,6710.0,6303.0,['Mexico'],CAF,A,4.0,58.0,65.0,False,467,6316.0,3806.0,['South Africa' 'south africa'],wilton-pereira-sampaio-br,CONMEBOL,br,BRA,5137.0,wilton-pereira-sampaio,https://footymetrics.com/referees/5137-wilton-pereira-sampaio,15053443.620278258,8309842.777147982
2,760414,400021441,151608,2.0,2026-06-12 02:00:00+00:00,2026-06-11 20:00:00-06:00,2026-06-11,22:00,group_a,group-stage,KOR,CZE,43822,43995,3-4-3,5-2-3,akron,400252150,Estadio Akron,"Estadio Akron, Zapopan",finished,2,1,44985,392013,EGY,Amin Mohamed Omar,STATUS_FULL_TIME,,49850,open,grass,2026-06-11,20.0,21.0,21.7,77.0,AFC,A,2.0,23.0,250.0,False,451,7804.0,3589.0,"['South Korea' 'south korea' 'korea republic' 'republic of korea'
 'korea south']",UEFA,A,3.0,42.0,220.0,False,450,8496.0,3445.0,['Czechia' 'Czech Republic' 'czechia' 'czech republic'],amin-mohamed-omar-eg,CAF,eg,EGY,33272.0,amin-mohamed-omar,https://footymetrics.com/referees/33272-amin-mohamed-omar,15558013.58900346,4446498.4265290005
3,760416,400021449,151614,7.0,2026-06-12 19:00:00+00:00,2026-06-12 13:00:00-06:00,2026-06-12,15:00,group_b,group-stage,CAN,BIH,43899,44037,4-4-2,4-4-2,bmo,400242032,BMO Field,"BMO Field, Toronto",finished,1,1,43002,416165,ARG,Facundo TELLO,STATUS_FULL_TIME,,45500,open,grass_overlay,2026-06-12,15.0,26.3,26.0,44.0,CONCACAF,B,1.0,31.0,230.0,True,206,5810.0,3510.0,['Canada'],UEFA,B,3.0,55.0,130.0,False,452,10106.0,3446.0,"['Bosnia & Herzegovina' 'Bosnia-Herzegovina' 'Bosnia and Herzegovina'
 'bosnia herzegovina' 'bosnia and herzegovina' 'bosnia & herzegovina']",,,,,,,,0.0,5990591.143094999
4,760417,400021458,151625,19.0,2026-06-13 01:00:00+00:00,2026-06-12 19:00:00-06:00,2026-06-12,21:00,group_d,group-stage,USA,PAR,43921,43928,4-2-3-1,4-4-2,sofi,400017978,SoFi Stadium,"SoFi Stadium, Inglewood",finished,4,1,70492,327159,NED,Danny Desmond Makkelie,STATUS_FULL_TIME,,70240,fixed,grass,2026-06-12,18.0,23.3,23.6,64.0,CONCACAF,D,1.0,16.0,320.0,True,660,6713.0,3505.0,['United States' 'USA' 'united states' 'usa' 'united states of america'],CONMEBOL,D,4.0,56.0,90.0,False,210,6724.0,3581.0,['Paraguay'],danny-desmond-makkelie-cw,UEFA,cw,CUW,59.0,danny-desmond-makkelie,https://footymetrics.com/referees/59-danny-desmond-makkelie,39314225.7708813,8031504.552253009
5,760420,400021447,151613,8.0,2026-06-13 19:00:00+00:00,2026-06-13 13:00:00-06:00,2026-06-13,15:00,group_b,group-stage,QAT,SUI,43834,43971,4-2-3-1,4-3-3,levis,400257521,Levi's Stadium,"Levi's Stadium, Santa Clara",finished,1,1,67966,400191,HON,Said MARTINEZ,STATUS_FULL_TIME,,68500,open,grass,2026-06-13,12.0,26.1,28.2,43.0,AFC,B,4.0,35.0,60.0,False,4398,5902.0,14162.0,['Qatar'],UEFA,B,2.0,19.0,270.0,False,475,6717.0,3384.0,['Switzerland'],said-martinez-xx,,,,4634531.0,said-martinez,https://footymetrics.com/referees/4634531-said-martinez,15599199.601551002,13943172.24389495
6,760419,400021456,151620,13.0,2026-06-13 22:00:00+00:00,2026-06-13 16:00:00-06:00,2026-06-13,18:00,group_c,group-stage,BRA,MAR,43924,43872,4-4-2,4-2-3-1,metlife,400257536,MetLife Stadium,"MetLife Stadium, East Rutherford",finished,1,1,80663,315008,SVN,Slavko VINCIC,STATUS_FULL_TIME,,82500,open,grass_overlay,2026-06-13,18.0,31.3,30.1,29.0,CONMEBOL,C,1.0,5.0,1050.0,False,205,8256.0,3439.0,['Brazil'],CAF,C,2.0,12.0,360.0,False,2869,6262.0,3575.0,['Morocco'],slavko-vinčić-si,UEFA,si,SVN,681.0,slavko-vincic,https://footymetrics.com/referees/681-slavko-vincic,26089929.591100655,12103681.081361977
7,760418,400021453,151619,14.0,2026-06-14 01:00:00+00:00,2026-06-13 19:00:00-06:00,2026-06-13,21:00,group_c,group-stage,HAI,SCO,43908,43967,4-4-2,4-4-2,gillette,400248623,Gillette Stadium,"Gillette Stadium, Foxborough",finished,0,1,64146,375306,ALG,Mustapha Ghorbal,STATUS_FULL_TIME,,65878,open,grass_overlay,2026-06-13,21.0,25.2,24.0,42.0,CONCACAF,C,4.0,82.0,20.0,False,2654,5934.0,14161.0,['Haiti'],UEFA,C,3.0,44.0,200.0,False,580,8498.0,3380.0,['Scotland'],mustapha-ghorbal-dz,CAF,dz,ALG,10373.0,mustapha-ghorbal,https://footymetrics.com/referees/10373-mustapha-ghorbal,24714463.224676106,5972779.376450995
8,760421,400021463,151626,20.0,2026-06-14 04:00:00+00:00,2026-06-13 22:00:00-06:00,2026-06-14,00:00,group_d,group-stage,AUS,TUR,43976,43972,5-4-1,4-2-3-1,bcplace,400248370,BC Place,"BC Place, Vancouver",finished,2,0,52497,360305,VEN,Jesús Valenzuela Sáez,STATUS_FULL_TIME,,54500,retractable,grass_overlay,2026-06-13,21.0,22.5,21.0,46.0,AFC,D,3.0,24.0,90.0,False,628,6716.0,3433.0,['Australia'],UEFA,D,2.0,28.0,420.0,False,465,6595.0,3381.0,['Türkiye' 'Turkiye' 'turkiye' 'türkiye' 'turkey'],jesús-valenzuela-sáez-ve,CONMEBOL,ve,VEN,5419.0,jesus-valenzuela-saez,https://footymetrics.com/referees/5419-jesus-valenzuela-saez,22064408.397174224,6457215.2534949975
9,760422,400021464,151631,25.0,2026-06-14 17:00:00+00:00,2026-06-14 11:00:00-06:00,2026-06-14,13:00,group_e,group-stage,GER,CUW,43948,1895293,3-4-3,4-1-2-3,nrg,400249385,NRG Stadium,"NRG Stadium, Houston",finished,7,1,68021,416524,MAR,Jalal Jayed,STATUS_FULL_TIME,,72220,retractable,grass_overlay,2026-06-14,12.0,29.5,34.3,73.0,UEFA,E,1.0,9.0,1000.0,False,481,8570.0,3262.0,['Germany'],CONCACAF,E,4.0,88.0,15.0,False,11678,287981.0,32364.0,['Curaçao' 'Curacao'],jalal-jayed-ma,CAF,ma,MAR,1589830.0,jalal-jayed,https://footymetrics.com/referees/1589830-jalal-jayed,25533392.546123333,19709936.663650002
10,760425,400021470,151638,31.0,2026-06-14 20:00:00+00:00,2026-06-14 14:00:00-06:00,2026-06-14,16:00,group_f,group-stage,NED,JPN,43960,43819,4-1-2-3,3-4-3,att,400257526,AT&T Stadium,"AT&T Stadium, Arlington",finished,2,2,69285,392406,USA,Ismail Elfath,STATUS_FULL_TIME,,80000,retractable,grass_overlay,2026-06-14,15.0,28.6,31.9,70.0,UEFA,F,1.0,7.0,980.0,False,449,6708.0,3379.0,['Netherlands'],AFC,F,2.0,17.0,320.0,False,627,6715.0,3435.0,['Japan'],ismail-elfath-us,CONCACAF,us,USA,9910.0,ismail-elfath,https://footymetrics.com/referees/9910-ismail-elfath,28412937.439626627,9898124.081650995
