stadium_id,name,city,state_or_region,country,capacity,roof_type,surface,altitude_m,latitude,longitude,timezone,weather_grid_key,open_meteo_elevation_m,altitude_delta_m,match_key,espn_venue_name,match_days,matches_total,matches_completed,total_attendance_so_far,max_temperature_c,min_temperature_c,max_apparent_temperature_c,min_apparent_temperature_c,avg_humidity_pct,avg_dew_point_c,avg_precipitation_mm,avg_rain_mm,avg_wind_speed_kmh,avg_cloud_cover_pct
azteca,Estadio Azteca,Mexico City,CDMX,MEX,87523,open,grass,2200,19.3029,-99.1505,America/Mexico_City,"19.3,-99.2",2245.0,45.0,Estadio Azteca,Estadio Banorte,5,5,2,161648,22.6,15.8,25.1,15.9,77.6,13.6,0.48,0.3,3.72,89.2
akron,Estadio Akron,Guadalajara,Jalisco,MEX,49850,open,grass,1600,20.6824,-103.4625,America/Mexico_City,"20.7,-103.5",1665.0,65.0,Estadio Akron,Estadio Akron,4,4,2,90507,21.0,18.9,22.0,20.8,82.75,17.075,0.25,0.1,7.8,39.25
bbva,Estadio BBVA,Monterrey,Nuevo León,MEX,53500,open,grass,558,25.6692,-100.2444,America/Monterrey,"25.7,-100.2",494.0,-64.0,Estadio BBVA,Estadio BBVA,4,4,2,102230,32.7,23.3,30.4,28.0,63.0,18.8,0.05,0.05,16.575,36.0
bmo,BMO Field,Toronto,Ontario,CAN,45500,open,grass_overlay,76,43.6332,-79.4185,America/Toronto,"43.6,-79.4",83.0,7.0,BMO Field,BMO Field,6,6,3,128980,26.9,18.7,26.0,18.1,51.0,12.066666666666668,0.03333333333333333,0.03333333333333333,13.450000000000001,57.0
bcplace,BC Place,Vancouver,British Columbia,CAN,54500,retractable,grass_overlay,3,49.2768,-123.1119,America/Vancouver,"49.3,-123.1",18.0,15.0,BC Place,BC Place,7,7,3,157491,22.5,14.8,21.9,14.4,55.57142857142857,10.542857142857143,0.014285714285714287,0.0,10.185714285714285,62.857142857142854
metlife,MetLife Stadium,New York / New Jersey,New Jersey,USA,82500,open,grass_overlay,3,40.8136,-74.0744,America/New_York,"40.8,-74.1",4.0,1.0,MetLife Stadium,MetLife Stadium,8,8,2,161208,31.3,21.1,30.1,23.2,48.142857142857146,13.071428571428571,0.05714285714285715,0.05714285714285715,13.371428571428572,58.0
sofi,SoFi Stadium,Los Angeles,California,USA,70240,fixed,grass,32,33.9534,-118.3387,America/Los_Angeles,"34.0,-118.3",44.0,12.0,SoFi Stadium,SoFi Stadium,8,8,4,280943,24.5,20.5,25.3,19.4,57.857142857142854,13.485714285714286,0.0,0.0,12.728571428571428,23.571428571428573
att,AT&T Stadium,Dallas,Texas,USA,80000,retractable,grass_overlay,158,32.7473,-97.0945,America/Chicago,"32.7,-97.1",176.0,18.0,AT&T Stadium,AT&T Stadium,9,9,2,139674,38.9,28.6,40.8,31.9,48.25,19.925,0.0,0.0,17.3,46.0
mercedes,Mercedes-Benz Stadium,Atlanta,Georgia,USA,71000,retractable,grass_overlay,316,33.7553,-84.4006,America/New_York,"33.8,-84.4",307.0,-9.0,Mercedes-Benz Stadium,Mercedes-Benz Stadium,8,8,3,203321,33.7,26.1,33.6,28.2,52.57142857142857,17.728571428571428,0.08571428571428573,0.014285714285714287,9.428571428571429,71.14285714285714
hardrock,Hard Rock Stadium,Miami,Florida,USA,65326,open,grass,3,25.958,-80.2389,America/New_York,"26.0,-80.2",5.0,2.0,Hard Rock Stadium,Hard Rock Stadium,7,7,2,126767,32.7,31.0,35.3,32.8,55.0,21.52,0.24,0.13999999999999999,15.239999999999998,91.8
lincoln,Lincoln Financial Field,Philadelphia,Pennsylvania,USA,69879,open,grass,9,39.9008,-75.1675,America/New_York,"39.9,-75.2",0.0,-9.0,Lincoln Financial Field,Lincoln Financial Field,6,6,2,136598,32.0,22.1,31.6,23.1,54.0,16.116666666666667,0.05000000000000001,0.016666666666666666,15.383333333333333,77.66666666666667
arrowhead,Arrowhead Stadium,Kansas City,Missouri,USA,76416,open,grass,273,39.0489,-94.4839,America/Chicago,"39.0,-94.5",259.0,-14.0,Arrowhead Stadium,GEHA Field at Arrowhead Stadium,6,6,2,137643,28.1,22.5,34.2,24.4,73.6,20.34,0.1,0.02,11.84,70.0
nrg,NRG Stadium,Houston,Texas,USA,72220,retractable,grass_overlay,13,29.6847,-95.4107,America/Chicago,"29.7,-95.4",13.0,0.0,NRG Stadium,NRG Stadium,7,7,3,205575,34.2,27.7,37.5,32.2,61.42857142857143,22.02857142857143,0.31428571428571433,0.31428571428571433,14.214285714285714,42.714285714285715
levis,Levi's Stadium,San Francisco Bay Area,California,USA,68500,open,grass,3,37.4032,-121.9698,America/Los_Angeles,"37.4,-122.0",3.0,0.0,Levi's Stadium,Levi's Stadium,6,6,3,205320,34.9,16.6,31.4,15.3,50.833333333333336,9.933333333333334,0.0,0.0,13.049999999999999,2.1666666666666665
lumen,Lumen Field,Seattle,Washington,USA,68740,open,grass_overlay,5,47.5952,-122.3316,America/Los_Angeles,"47.6,-122.3",11.0,6.0,Lumen Field,Lumen Field,6,6,2,133700,29.3,12.9,29.5,12.0,47.166666666666664,10.15,0.0,0.0,9.200000000000001,68.16666666666667
gillette,Gillette Stadium,Boston,Massachusetts,USA,65878,open,grass_overlay,24,42.0909,-71.2643,America/New_York,"42.1,-71.3",89.0,65.0,Gillette Stadium,Gillette Stadium,7,7,3,191398,29.4,17.6,28.3,18.2,55.0,12.65,0.06666666666666667,0.06666666666666667,13.5,44.5
